"region_id","attributes"
"d5081a46-f05d-4662-b05d-299c5f5de28f","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1527"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Tingo María National Park"",""title_es"":""Plan Maestro del Parque Nacional Tingo María""}]}"
"19b5835d-a588-4b7f-b60c-01279e483401","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/normas/actualizacion-plan-maestro-reserva-nacional-titicaca-periodo-2014-2019"",""plan_year"":""Plan Maestro 2014 - 2019"",""title_en"":""Management Plan for del Titicaca National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional del Titicaca""}]}"
"a343f3b7-2881-44e8-b0ab-a57d02d5292b","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=400"",""plan_year"":""Plan Maestro 2012 - 2017"",""title_en"":""Management Plan for Tumbes National Reserve"",""title_es"":""Plan Maestro de la Reserva Nacional de Tumbes""}]}"
"9b42de41-e826-4c50-9441-cb4bc711a610","{""management_plan"":[{""url"":""http://sinia.minam.gob.pe/documentos/plan-maestro-2015-2019-parque-nacional-yanachaga-chemillen"",""plan_year"":""Plan Maestro 2015 - 2019"",""title_en"":""Management Plan for Yanachaga-Chemillén National Park"",""title_es"":""Plan Maestro del Parque Nacional Yanachaga-Chemillén""}]}"
"6df16cad-2e68-40db-ac01-e289b7d204a2","{""management_plan"":[{""url"":""http://sis.sernanp.gob.pe/biblioteca/?publicacion=1522"",""plan_year"":""Plan Maestro 2017 - 2021"",""title_en"":""Management Plan for Yanesha Communal Reserve"",""title_es"":""Plan Maestro de la Reserva Communal Yanesha""}]}"
"cd3208ea-9702-4222-bb8c-5914de8bf5d5","{""management_plan"":[{""url"":""http://suia.ambiente.gob.ec/documents/10179/242256/32+PLAN+DE+MANEJO+BOLICHE+ANR+El+Boliche.pdf/4a553f3b-8563-4f93-b8fd-2da6ab50fc1b"",""plan_year"":""Plan de Manejo 2007"",""title_en"":""Management Plan for El Boliche National Recreation Area"",""title_es"":""Plan de Manejo del Área Nacional de Recreación El Boliche""}]}"
"371e10d2-9d94-4786-b871-50544e0e1886","{""management_plan"":[{""url"":""http://suia.ambiente.gob.ec/documents/10179/242256/19+PLAN+DE+MANEJO+ISLA+SANTAY+ANR+Isla+Santay.pdf/a13669f7-b6e6-4592-93c6-c339f48b00ea"",""plan_year"":""Plan de Manejo 2011"",""title_en"":""Management Plan for Isla Santay National Recreation Area"",""title_es"":""Plan de Manejo del Área Nacional de Recreación Isla Santay""}]}"
"59b5a610-740c-41ad-affb-ef4653f1cc54","{""management_plan"":[{""url"":""http://suia.ambiente.gob.ec/documents/10179/242256/29+PLAN+DE+MANEJO+PASOCHOA+RVS+Pasochoa.pdf/637bb158-b2ed-4b75-8743-d6a03cfcc3ce"",""plan_year"":""Plan de Manejo 1990"",""title_en"":""Management Plan for Pasochoa Wildlife Refuge"",""title_es"":""Plan de Manejo del Refugio de Vida Silvestre Pasochoa""}]}"
"ad18dc19-a8a5-4be2-813b-b2ae12d27e6f","{""management_plan"":[{""url"":""http://www.ambiente.gob.ec/wp-content/uploads/downloads/2018/03/ACUERDO-001-ANEXO-PAQUE-NACIONAL-CAJAS.pdf"",""plan_year"":""Plan de Manejo 2018"",""title_en"":""Management Plan for Cajas National Park"",""title_es"":""Plan de Manejo del Parque Nacional Cajas""}]}"
"ffc1cc77-c53c-4b2b-92f4-e0ebdd898d7d","{""management_plan"":[{""url"":""http://suia.ambiente.gob.ec/documents/10179/242256/27+PLAN+DE+MANEJO+CAYAMBE+COCA++2009.pdf/0395923b-3c17-4993-905a-c6a05a0e9225"",""plan_year"":""Plan de Manejo"",""title_en"":""Management Plan for Cayambe-Coca National Park"",""title_es"":""Plan de Manejo del Parque Nacional Cayambe-Coca""}]}"
